Lineups,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
J. Randle - O. Anunoby,14,12,2,348,125.8,102.1,23.7,60.7,1.90,19.4,32.8,74.9,55.5,14.5,59.7,63.5,98.10,60.7
I. Hartenstein - R. Barrett,26,15,11,346,113.5,113.4,0.1,58.6,1.76,17.4,33.6,71.5,52.2,13.9,52.9,56.8,101.89,49.4
J. Hart - J. Sims,32,21,11,343,106.6,111.4,-4.8,57.0,1.46,15.6,38.2,68.8,52.6,15.4,49.1,52.0,93.55,45.2
I. Hartenstein - P. Achiuwa,30,19,11,342,113.3,116.0,-2.7,60.6,1.92,18.4,30.9,70.2,50.1,13.6,53.0,55.9,94.16,49.4
R. Barrett - Q. Grimes,25,14,11,335,110.2,108.7,1.5,58.7,1.82,17.2,27.7,68.9,48.6,13.0,52.8,56.2,98.88,49.6
J. Brunson - J. Sims,29,19,10,320,118.0,115.7,2.3,55.4,1.68,17.0,37.0,68.7,52.5,14.5,54.8,57.9,93.92,48.9
D. DiVincenzo - I. Quickley,25,13,12,310,112.3,111.1,1.1,59.8,1.68,16.8,35.4,73.4,53.3,14.1,51.6,56.0,101.12,49.7
B. Bogdanovic - P. Achiuwa,27,15,12,305,102.0,113.4,-11.4,60.5,1.33,16.6,28.0,70.7,49.8,16.9,52.8,56.0,97.16,43.4
M. Robinson - R. Barrett,16,10,6,302,116.7,111.2,5.6,54.9,1.69,16.7,33.2,71.4,51.9,13.8,55.0,58.2,99.14,51.0
B. Bogdanovic - D. DiVincenzo,26,15,11,301,104.9,121.1,-16.1,61.3,1.69,17.1,30.7,70.5,48.6,14.0,50.8,54.0,97.45,40.9
D. DiVincenzo - M. Robinson,30,18,12,300,123.4,123.3,0.1,57.7,1.99,17.1,41.4,76.0,56.4,12.6,54.7,58.4,97.28,49.3
