Lineups,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
O. Anunoby - J. Hart - J. Brunson - D. DiVincenzo,12,11,1,211,119.2,107.6,11.7,58.0,1.85,18.5,30.9,73.1,52.9,14.0,57.5,60.8,95.98,56.4
O. Anunoby - I. Hartenstein - J. Hart - J. Brunson,17,15,2,209,121.9,92.0,29.9,57.5,02.02,18.8,34.5,83.3,59.9,13.3,56.7,59.9,97.87,65.5
I. Hartenstein - J. Brunson - D. DiVincenzo - M. McBride,21,11,10,204,135.4,106.1,29.3,66.2,3.43,23.0,29.6,69.0,50.3,9.8,65.1,66.8,96.09,61.6
I. Hartenstein - J. Hart - J. Brunson - M. McBride,19,11,8,203,134.9,105.4,29.6,66.3,3.67,22.6,31.1,72.0,51.9,9.0,63.9,65.6,93.60,62.8
J. Randle - J. Hart - J. Brunson - I. Quickley,29,16,13,183,128.4,105.5,22.9,56.6,1.94,18.0,35.3,77.7,57.5,13.0,59.9,64.4,101.98,62.6
I. Hartenstein - J. Hart - R. Barrett - I. Quickley,24,13,11,176,112.1,103.2,8.9,59.9,1.94,17.8,29.8,70.7,50.4,12.9,53.4,56.8,101.25,53.4
J. Randle - I. Hartenstein - J. Hart - I. Quickley,28,15,13,171,122.4,100.8,21.6,55.0,1.73,17.1,35.4,73.9,56.4,13.7,58.6,63.0,103.75,62.4
I. Hartenstein - J. Hart - J. Brunson - I. Quickley,30,16,14,165,118.0,103.5,14.6,53.3,1.95,16.4,32.1,78.7,55.7,11.5,54.7,59.3,102.16,58.3
J. Hart - J. Brunson - D. DiVincenzo - M. Robinson,29,18,11,158,122.7,115.4,7.3,59.4,2.16,17.5,42.0,75.0,56.5,12.0,54.7,57.9,95.74,52.4
J. Randle - J. Hart - J. Brunson - Q. Grimes,35,24,11,152,105.3,113.9,-8.5,56.5,1.94,15.3,37.4,74.3,53.2,11.3,49.0,51.0,100.13,45.2
J. Randle - J. Hart - J. Brunson - D. DiVincenzo,31,20,11,147,116.6,110.2,6.4,57.8,1.48,16.4,35.3,74.5,55.1,15.4,58.5,62.1,105.76,53.2
J. Randle - I. Hartenstein - J. Brunson - R. Barrett,18,9,9,142,113.5,125.8,-12.3,54.3,1.56,16.1,35.4,74.5,53.6,14.5,52.0,56.8,103.81,44.8
J. Randle - I. Hartenstein - J. Hart - D. DiVincenzo,33,20,13,138,114.7,106.5,8.2,60.3,1.43,17.3,35.7,71.6,55.1,16.7,59.4,63.5,107.12,55.1
J. Randle - I. Hartenstein - J. Brunson - I. Quickley,29,15,14,137,126.6,103.5,23.1,49.6,02.06,16.3,34.4,76.4,56.1,10.9,58.8,62.9,101.22,62.7
J. Hart - J. Brunson - D. DiVincenzo - J. Sims,19,13,6,136,109.1,104.8,4.3,57.6,1.62,17.0,38.8,72.1,54.5,15.3,52.7,54.0,96.20,48.7
J. Randle - J. Brunson - D. DiVincenzo - M. Robinson,17,10,7,135,123.9,124.9,-1.0,61.5,1.79,18.1,39.9,80.0,57.4,15.0,56.8,59.8,99.26,48.8
O. Anunoby - I. Hartenstein - J. Hart - D. DiVincenzo,12,11,1,132,118.1,101.9,16.2,59.7,1.85,19.6,32.2,81.7,57.5,15.1,57.6,59.7,96.51,58.4
J. Hart - D. DiVincenzo - R. Barrett - I. Quickley,14,9,5,129,112.0,102.8,9.2,57.7,1.52,16.7,34.6,70.5,52.5,15.3,53.5,57.3,103.27,53.8
I. Hartenstein - J. Hart - D. DiVincenzo - R. Barrett,16,11,5,122,109.3,101.1,8.2,59.2,1.56,16.7,35.3,69.8,52.1,15.1,50.9,54.8,103.89,52.0
J. Hart - D. DiVincenzo - M. McBride - J. Sims,15,9,6,122,105.3,102.9,2.4,60.4,1.87,16.6,33.6,73.9,51.7,12.7,49.2,50.9,96.65,48.8
I. Hartenstein - D. DiVincenzo - R. Barrett - I. Quickley,15,9,6,117,110.9,101.9,9.0,59.0,1.64,16.9,34.6,69.5,51.4,14.6,51.6,55.3,103.70,52.2
J. Randle - J. Brunson - M. Robinson - I. Quickley,21,12,9,117,116.3,108.6,7.7,63.3,1.94,17.6,36.8,82.4,57.9,13.0,55.4,58.3,100.75,53.9
J. Hart - J. Brunson - P. Achiuwa - M. McBride,21,12,9,116,115.3,108.7,6.6,56.7,02.12,16.2,41.3,63.6,51.0,11.4,48.2,51.9,94.81,51.5
J. Brunson - D. DiVincenzo - P. Achiuwa - M. McBride,18,10,8,115,109.1,111.4,-2.3,58.2,02.04,16.6,33.6,63.1,46.1,11.6,47.4,51.6,101.95,45.9
J. Hart - J. Brunson - M. Robinson - Q. Grimes,19,10,9,114,100.0,113.1,-13.1,52.4,1.57,13.4,37.2,75.5,53.4,12.1,45.7,48.0,96.97,43.0
B. Bogdanovic - J. Hart - D. DiVincenzo - M. McBride,22,14,8,112,101.3,112.4,-11.1,73.8,1.77,19.1,34.2,68.4,49.3,15.6,49.3,52.0,98.22,42.0
J. Randle - J. Hart - M. Robinson - Q. Grimes,19,10,9,110,100.0,111.8,-11.8,53.7,1.57,13.8,37.6,76.5,53.9,12.6,46.0,47.8,97.29,43.3
B. Bogdanovic - J. Hart - P. Achiuwa - M. McBride,20,11,9,108,91.1,114.7,-23.6,71.8,1.19,16.6,30.6,70.4,51.1,19.1,48.0,52.3,99.64,38.0
