Lineups,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo,63,40,23,622,124.2,109.0,15.2,62.4,2.41,20.2,32.2,74.2,53.4,12.0,58.9,61.8,96.73,57.7
J. Hart - J. Brunson - D. DiVincenzo - P. Achiuwa,33,22,11,420,115.0,111.7,3.3,58.7,02.05,17.8,35.1,71.4,52.6,12.5,52.2,55.6,95.19,52.4
J. Randle - I. Hartenstein - J. Brunson - D. DiVincenzo,30,18,12,382,123.6,115.7,7.9,60.9,1.80,18.7,34.0,75.9,55.4,14.7,58.9,63.2,102.89,53.3
J. Randle - J. Brunson - M. Robinson - Q. Grimes,19,10,9,362,107.3,109.3,-2.1,54.7,1.55,15.2,32.8,72.3,51.4,13.6,49.3,52.8,98.76,46.9
O. Anunoby - I. Hartenstein - J. Brunson - D. DiVincenzo,18,16,2,331,124.7,104.5,20.2,64.8,2.10,21.0,30.2,79.3,55.8,14.3,60.4,63.1,99.53,58.2
J. Hart - J. Brunson - D. DiVincenzo - M. McBride,21,13,8,315,127.4,110.2,17.3,63.4,2.95,20.6,35.0,68.3,50.6,10.4,57.3,59.5,95.78,55.6
J. Randle - J. Brunson - M. Robinson - R. Barrett,16,10,6,286,116.6,110.5,6.1,55.2,1.78,16.8,33.1,71.1,51.4,13.2,54.4,57.3,98.94,51.0
I. Hartenstein - J. Hart - D. DiVincenzo - M. McBride,28,17,11,268,123.1,109.7,13.4,69.1,03.02,22.1,26.9,68.4,47.6,10.6,60.4,62.4,96.38,55.9
J. Randle - I. Hartenstein - J. Hart - J. Brunson,38,23,15,243,127.6,107.2,20.4,54.1,1.82,17.5,35.0,75.5,56.5,13.4,61.6,65.8,105.34,61.1
J. Randle - J. Brunson - R. Barrett - Q. Grimes,15,9,6,241,110.4,105.7,4.6,56.2,1.66,16.4,29.2,70.4,49.5,13.6,52.2,55.7,100.08,49.9
J. Randle - J. Hart - J. Brunson - M. Robinson,21,12,9,235,114.9,109.9,4.9,60.0,1.75,17.1,38.0,78.8,56.6,14.2,53.6,55.7,96.40,52.1
J. Brunson - M. Robinson - R. Barrett - Q. Grimes,14,9,5,230,111.2,105.6,5.5,55.3,1.64,16.2,28.9,69.7,49.3,13.5,52.1,56.0,99.87,50.5
I. Hartenstein - J. Hart - D. DiVincenzo - P. Achiuwa,16,9,7,229,117.1,115.4,1.6,64.0,2.21,19.5,32.5,69.4,50.8,12.9,54.1,57.2,94.03,53.3
J. Hart - D. DiVincenzo - P. Achiuwa - M. McBride,26,15,11,228,102.6,111.4,-8.8,71.1,1.81,18.5,32.8,65.0,47.7,14.8,47.4,50.8,97.10,45.0
J. Randle - M. Robinson - R. Barrett - Q. Grimes,14,9,5,228,111.2,104.8,6.4,55.3,1.64,16.2,29.0,70.0,49.5,13.5,52.3,56.0,100.13,50.8
J. Randle - O. Anunoby - J. Brunson - D. DiVincenzo,12,11,1,226,127.7,109.0,18.7,65.1,02.03,21.1,28.8,76.2,54.3,14.7,63.1,66.7,99.75,57.4
J. Randle - O. Anunoby - I. Hartenstein - J. Brunson,10,9,1,223,126.8,103.8,23.0,62.2,02.05,20.1,30.5,79.3,56.2,14.0,60.1,64.1,101.29,59.4
J. Randle - O. Anunoby - I. Hartenstein - D. DiVincenzo,12,10,2,216,124.7,108.9,15.8,66.8,02.05,20.9,29.9,76.3,54.4,14.7,60.9,63.9,100.34,55.4
J. Randle - J. Brunson - D. DiVincenzo - R. Barrett,17,8,9,215,122.8,132.7,-10.0,56.9,1.97,18.2,36.2,73.3,53.9,13.2,56.9,60.6,102.40,46.4
I. Hartenstein - J. Brunson - D. DiVincenzo - P. Achiuwa,15,11,4,212,117.9,111.7,6.2,58.8,2.20,18.4,31.8,72.1,51.7,12.0,53.7,56.9,94.56,54.5
I. Hartenstein - J. Hart - D. DiVincenzo - I. Quickley,18,10,8,212,109.2,107.0,2.1,61.0,1.64,17.0,36.0,70.6,52.6,14.8,50.6,54.7,101.68,50.2
I. Hartenstein - J. Hart - J. Brunson - P. Achiuwa,16,11,5,212,117.0,113.0,4.0,59.3,2.25,18.3,32.7,73.8,52.5,11.7,52.8,56.2,92.72,53.9
