Lineups,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
B. Bogdanovic - J. Hart - J. Brunson - D. DiVincenzo - P. Achiuwa,10,6,4,33,115.7,128.4,-12.6,42.9,2.40,13.5,28.1,80.0,50.9,7.1,56.3,61.3,100.81,47.2
O. Anunoby - J. Hart - J. Brunson - D. DiVincenzo - M. Robinson,6,5,1,32,127.7,138.7,-11.0,59.3,4.00,17.8,32.1,65.2,47.1,6.2,57.4,63.8,95.50,48.7
J. Randle - J. Brunson - D. DiVincenzo - M. Robinson - I. Quickley,8,4,4,30,108.8,123.9,-15.1,73.9,1.89,17.7,28.2,85.2,51.5,13.2,50.9,55.6,106.40,41.7
B. Bogdanovic - J. Hart - D. DiVincenzo - M. McBride - J. Sims,6,2,4,28,112.1,115.3,-3.2,75.0,2.25,19.8,45.9,78.9,57.1,13.8,48.3,50.5,98.80,46.8
J. Randle - I. Hartenstein - J. Hart - Q. Grimes - I. Quickley,9,3,6,28,129.0,92.1,37.0,51.7,2.14,17.4,36.0,72.4,55.6,11.3,64.2,66.6,108.15,65.7
J. Randle - J. Hart - Q. Grimes - P. Achiuwa - M. McBride,11,9,2,28,105.1,141.7,-36.6,56.5,1.30,16.7,29.6,69.6,48.0,16.9,59.4,60.7,102.68,33.1
O. Anunoby - J. Hart - J. Brunson - D. DiVincenzo - P. Achiuwa,4,4,0,28,100.0,103.2,-3.2,47.6,0.77,12.8,37.5,59.0,50.8,22.0,53.5,59.5,103.61,53.3
O. Anunoby - I. Hartenstein - J. Hart - J. Brunson - Q. Grimes,9,8,1,26,127.3,74.5,52.7,60.0,2.50,18.8,40.0,90.6,68.4,10.9,59.0,61.8,102.46,77.3
T. Gibson - J. Hart - R. Barrett - Q. Grimes - I. Quickley,4,1,3,26,86.8,107.4,-20.6,47.1,2.67,12.5,9.7,85.7,45.8,5.7,42.6,45.9,99.99,35.7
B. Bogdanovic - I. Hartenstein - D. DiVincenzo - P. Achiuwa - M. McBride,8,4,4,25,91.8,160.8,-68.9,63.2,01.09,18.8,14.3,70.6,39.5,22.4,57.9,58.5,95.48,22.2
